timestamp,auction_id,base_cpm,winning_bid,audience_segment,ad_category,device_type,hour_of_day,day_of_week,ad_position,ad_size,user_location,user_age,user_gender,value_per_conversion,true_ctr,true_cvr,clicked,converted
2025-06-08 22:16:40.921705,AUCTION_075721,10.198906646922941,0.5919960078927364,students,business,tablet,11,1,bottom,728x90,CN,33,F,70.0,0.01598211411821653,0.3700266668666421,0,0
2025-05-23 11:29:48.162175,AUCTION_080184,6.79772290908385,0.2963215642314219,parents,gaming,mobile,13,2,bottom,728x90,OM,46,M,35.0,0.02299265182118798,0.12894683497934917,0,0
2025-05-25 23:02:29.839752,AUCTION_019864,28.937919175947503,0.203057225376447,travel_enthusiasts,fashion,mobile,19,1,bottom,160x600,DE,20,M,30.0,0.05227430368414878,0.13007792979584595,0,0
2025-06-06 07:35:03.873662,AUCTION_076699,18.393100129805013,0.8894788449695656,parents,business,tablet,8,0,top,728x90,PG,18,M,70.0,0.030697393318355314,0.2556730913281553,0,0
2025-06-04 11:57:12.104515,AUCTION_092991,14.38750761302079,0.3960970362974831,travel_enthusiasts,business,desktop,21,3,content,320x50,TN,41,F,70.0,0.058161244428354957,0.5023376776727062,0,0
2025-05-23 22:59:26.604469,AUCTION_076434,10.73463702977149,0.47911073082441796,food_lovers,fashion,mobile,8,5,bottom,160x600,HU,40,F,30.0,0.02980371562491302,0.16454910578139662,0,0
2025-05-19 21:32:58.107797,AUCTION_084004,11.98524245588657,0.6835541227988101,tech_enthusiasts,travel,tablet,9,6,bottom,728x90,AF,34,M,90.0,0.015476131321833236,0.2953307437536419,0,0
2025-05-12 09:45:51.677581,AUCTION_080917,11.128146067301618,0.9208697751485232,parents,travel,mobile,8,3,top,300x250,FM,31,M,90.0,0.05083747179882587,0.2691454747427945,0,0
2025-05-15 17:38:17.966705,AUCTION_060767,12.434211213800857,1.3366979759601885,students,education,mobile,23,1,top,160x600,TO,37,M,50.0,0.50519780233374,0.32460158102470194,0,0
2025-05-13 07:41:27.659997,AUCTION_050074,8.22345143672936,1.2998592788229144,business_professionals,education,desktop,22,3,top,300x250,TR,18,M,50.0,0.3350309533131612,0.36411093721281007,1,1
2025-05-31 18:20:17.716699,AUCTION_027701,19.098292916233405,0.3879476680838094,food_lovers,fashion,mobile,23,2,content,160x600,AD,46,M,30.0,0.059117236803169416,0.17936320357513938,0,0
